serial_num,item_name,category,pickup_address,size,brand,manufacture_year,price,seller_email,buyer_email,sold,order_ID
1, Classic White Button-Up,Men's shirts," 12 HaYarkon St, Tel Aviv, Israel", S, Levi's,2003,5,john.doe@gmail.com,NULL,0,
2, Striped Short-Sleeve Polo,Men's shirts," 25 Herzl St, Haifa, Israel", M, Ralph Lauren,2005,10,jane.doe@hotmail.com,NULL,0,
3, Faded Blue Denim Shirt,Men's shirts," 19 Ben Gurion Blvd, Netanya, Israel", L, Tommy Hilfiger,2007,15,billybob@yahoo.com,NULL,0,
4, Plaid Flannel Button-Up,Men's shirts," 33 Herzl St, Jerusalem, Israel", XL, Calvin Klein,2009,20,sarahjane@aol.com,NULL,0,
5, Black and White Striped Dress Shirt,Men's shirts," 5 Dizengoff St, Tel Aviv, Israel", XXL, Nike,2011,25,tom.smith@outlook.com,NULL,0,
6, Olive Green Military Shirt,Men's shirts," 13 HaYarkon St, Tel Aviv, Israel", S, Adidas,2013,30,john.doe@gmail.com,NULL,0,
7, Grey Henley T-Shirt,Men's shirts," 26 Herzl St, Haifa, Israel", M, Patagonia,2015,35,jane.doe@hotmail.com,NULL,0,
8, Red and White Striped Rugby Shirt,Men's shirts," 20 Ben Gurion Blvd, Netanya, Israel", L, Columbia,2017,40,billybob@yahoo.com,NULL,0,
9, Light Blue Oxford Button-Up,Men's shirts," 34 Herzl St, Jerusalem, Israel", XL, The North Face,2019,45,sarahjane@aol.com,NULL,0,
10, Khaki Safari Shirt,Men's shirts," 6 Dizengoff St, Tel Aviv, Israel", XXL, Under Armour,2021,50,tom.smith@outlook.com,NULL,0,
11, Maroon and Black Buffalo Check Flannel,Men's shirts," 14 HaYarkon St, Tel Aviv, Israel", S, G-Star Raw,2000,55,john.doe@gmail.com,NULL,0,
12, White Linen Beach Shirt,Men's shirts," 27 Herzl St, Haifa, Israel", M, H&M,2002,60,jane.doe@hotmail.com,NULL,0,
13, Olive Drab Army Fatigue Shirt,Men's shirts," 21 Ben Gurion Blvd, Netanya, Israel", L, Zara,2004,65,billybob@yahoo.com,NULL,0,
14, Rustic Plaid Button-Up,Men's shirts," 35 Herzl St, Jerusalem, Israel", XL, Uniqlo,2006,70,sarahjane@aol.com,NULL,0,
15, Light Pink Dress Shirt,Men's shirts," 7 Dizengoff St, Tel Aviv, Israel", XXL, J,2008,75,tom.smith@outlook.com,NULL,0,
16, Green and Blue Striped Polo,Men's shirts," 15 HaYarkon St, Tel Aviv, Israel", S, American Eagle,2010,80,john.doe@gmail.com,NULL,0,
17, Blue Chambray Work Shirt,Men's shirts," 28 Herzl St, Haifa, Israel", M, Abercrombie & Fitch,2012,85,jane.doe@hotmail.com,NULL,0,
18, Orange and Blue Baseball Jersey,Men's shirts," 22 Ben Gurion Blvd, Netanya, Israel", L, Lululemon,2014,90,billybob@yahoo.com,NULL,0,
19, Burgundy Velvet Smoking Jacket,Men's shirts," 36 Herzl St, Jerusalem, Israel", XL, Express,2016,95,sarahjane@aol.com,NULL,0,
20, Navy and White Striped Sailor Shirt,Men's shirts," 8 Dizengoff St, Tel Aviv, Israel", XXL, Old Navy,2018,100,tom.smith@outlook.com,NULL,0,
21,Black Straight Leg Jeans,Men's pants," 16 HaYarkon St, Tel Aviv, Israel", S,Levi's,2015,30,john.doe@gmail.com,NULL,0,
22,Grey Chinos,Men's pants," 29 Herzl St, Haifa, Israel", M,J.Crew,2019,35,jane.doe@hotmail.com,NULL,0,
23,Olive Green Cargo Pants,Men's pants," 23 Ben Gurion Blvd, Netanya, Israel", L,Columbia,2017,40,billybob@yahoo.com,NULL,0,
24,Blue Denim Shorts,Men's pants," 37 Herzl St, Jerusalem, Israel", XL,Tommy Hilfiger,2013,25,sarahjane@aol.com,NULL,0,
25,Black Joggers,Men's pants," 9 Dizengoff St, Tel Aviv, Israel", XXL,Nike,2019,45,tom.smith@outlook.com,NULL,0,
26,Khaki Dress Pants,Men's pants," 17 HaYarkon St, Tel Aviv, Israel", S,Calvin Klein,2015,50,john.doe@gmail.com,NULL,0,
27,Beige Chino Shorts,Men's pants," 30 Herzl St, Haifa, Israel", M,Ralph Lauren,2017,30,jane.doe@hotmail.com,NULL,0,
28,Dark Wash Jeans,Men's pants," 24 Ben Gurion Blvd, Netanya, Israel", L,G-Star Raw,2019,40,billybob@yahoo.com,NULL,0,
29,Grey Sweatpants,Men's pants," 38 Herzl St, Jerusalem, Israel", XL,Adidas,2021,35,sarahjane@aol.com,NULL,0,
30,Green Camo Cargo Pants,Men's pants," 10 Dizengoff St, Tel Aviv, Israel", XXL,The North Face,2018,50,tom.smith@outlook.com,NULL,0,
31,Light Blue Denim Shorts,Men's pants," 18 HaYarkon St, Tel Aviv, Israel", S,Levi's,2013,25,john.doe@gmail.com,NULL,0,
32,Black Dress Pants,Men's pants," 31 Herzl St, Haifa, Israel", M,H&M,2015,30,jane.doe@hotmail.com,NULL,0,
33,Navy Chinos,Men's pants," 25 Ben Gurion Blvd, Netanya, Israel", L,J.Crew,2019,35,billybob@yahoo.com,NULL,0,
34,Brown Cargo Pants,Men's pants," 39 Herzl St, Jerusalem, Israel", XL,Columbia,2017,40,sarahjane@aol.com,NULL,0,
35,White Denim Shorts,Men's pants," 11 Dizengoff St, Tel Aviv, Israel", XXL,Tommy Hilfiger,2013,25,tom.smith@outlook.com,NULL,0,
36,Red Joggers,Men's pants," 19 HaYarkon St, Tel Aviv, Israel", S,Nike,2019,45,john.doe@gmail.com,NULL,0,
37,Grey Dress Pants,Men's pants," 32 Herzl St, Haifa, Israel", M,Calvin Klein,2015,50,jane.doe@hotmail.com,NULL,0,
38,Khaki Chino Shorts,Men's pants," 26 Ben Gurion Blvd, Netanya, Israel", L,Ralph Lauren,2017,30,billybob@yahoo.com,NULL,0,
39,Dark Denim Jeans,Men's pants," 40 Herzl St, Jerusalem, Israel", XL,G-Star Raw,2019,40,sarahjane@aol.com,NULL,0,
40,Black Sweatpants,Men's pants," 12 Dizengoff St, Tel Aviv, Israel", XXL,Adidas,2021,35,tom.smith@outlook.com,NULL,0,
41,Black Leather Dress Shoes,Men's shoes," 20 HaYarkon St, Tel Aviv, Israel",7,Allen Edmonds,2018,70,john.doe@gmail.com,NULL,0,
42,Brown Loafers,Men's shoes," 33 Herzl St, Haifa, Israel",7.5,Bass,2019,45,jane.doe@hotmail.com,NULL,0,
43,Tan Oxford Shoes,Men's shoes," 27 Ben Gurion Blvd, Netanya, Israel",8,Aldo,2015,60,billybob@yahoo.com,NULL,0,
44,Blue Sneakers,Men's shoes," 41 Herzl St, Jerusalem, Israel",8.5,Converse,2017,50,sarahjane@aol.com,NULL,0,
45,Red High Top Sneakers,Men's shoes," 13 Dizengoff St, Tel Aviv, Israel",9,Vans,2021,55,tom.smith@outlook.com,NULL,0,
46,Burgundy Chelsea Boots,Men's shoes," 21 HaYarkon St, Tel Aviv, Israel",9.5,Dr. Martens,2019,75,john.doe@gmail.com,NULL,0,
47,Black Hiking Boots,Men's shoes," 34 Herzl St, Haifa, Israel",10,Timberland,2015,85,jane.doe@hotmail.com,NULL,0,
48,Brown Chelsea Boots,Men's shoes," 28 Ben Gurion Blvd, Netanya, Israel",10.5,Clarks,2017,70,billybob@yahoo.com,NULL,0,
49,White Sneakers,Men's shoes," 42 Herzl St, Jerusalem, Israel",11,Nike,2021,60,sarahjane@aol.com,NULL,0,
50,Grey Running Shoes,Men's shoes," 14 Dizengoff St, Tel Aviv, Israel",11.5,Adidas,2018,70,tom.smith@outlook.com,NULL,0,
51,Black Suede Chukka Boots,Men's shoes," 22 HaYarkon St, Tel Aviv, Israel",12,Red Wing,2019,90,john.doe@gmail.com,NULL,0,
52,Tan Desert Boots,Men's shoes," 35 Herzl St, Haifa, Israel",12.5,Lugz,2015,65,jane.doe@hotmail.com,NULL,0,
53,Green Sneakers,Men's shoes," 29 Ben Gurion Blvd, Netanya, Israel",13,Puma,2017,50,billybob@yahoo.com,NULL,0,
54,Black Skate Shoes,Men's shoes," 43 Herzl St, Jerusalem, Israel",13.5,DC,2021,55,sarahjane@aol.com,NULL,0,
55,Navy Loafers,Men's shoes," 15 Dizengoff St, Tel Aviv, Israel",14,Sperry,2019,45,tom.smith@outlook.com,NULL,0,
56,Brown Boat Shoes,Men's shoes," 23 HaYarkon St, Tel Aviv, Israel",14.5,Sebago,2015,60,john.doe@gmail.com,NULL,0,
57,White High Top Sneakers,Men's shoes," 36 Herzl St, Haifa, Israel",15,Reebok,2017,50,jane.doe@hotmail.com,NULL,0,
58,Black Biker Boots,Men's shoes," 30 Ben Gurion Blvd, Netanya, Israel",15.5,Harley-Davidson,2019,80,billybob@yahoo.com,NULL,0,
59,Brown Work Boots,Men's shoes," 44 Herzl St, Jerusalem, Israel",16,Wolverine,2015,85,sarahjane@aol.com,NULL,0,
60,Black Leather Belt,Men's accessories," 16 Dizengoff St, Tel Aviv, Israel",16.5,Calvin Klein,2017,20,tom.smith@outlook.com,NULL,0,
61,Brown Suede Belt,Men's accessories," 24 HaYarkon St, Tel Aviv, Israel", S,Tommy Hilfiger,2019,25,john.doe@gmail.com,NULL,0,
62,Silver Watch,Men's accessories," 37 Herzl St, Haifa, Israel", M,Citizen,2015,50,jane.doe@hotmail.com,NULL,0,
63,Black Sunglasses,Men's accessories," 31 Ben Gurion Blvd, Netanya, Israel", L,Ray-Ban,2017,70,billybob@yahoo.com,NULL,0,
64,Brown Messenger Bag,Men's accessories," 45 Herzl St, Jerusalem, Israel", XL,Michael Kors,2019,80,sarahjane@aol.com,NULL,0,
65,Black Backpack,Men's accessories," 17 Dizengoff St, Tel Aviv, Israel", XXL,Nike,2015,45,tom.smith@outlook.com,NULL,0,
66,Blue Baseball Cap,Men's accessories," 25 HaYarkon St, Tel Aviv, Israel", S,New Era,2017,20,john.doe@gmail.com,NULL,0,
67,Black Winter Hat,Men's accessories," 38 Herzl St, Haifa, Israel", M,North Face,2019,30,jane.doe@hotmail.com,NULL,0,
68,Brown Leather Wallet,Men's accessories," 32 Ben Gurion Blvd, Netanya, Israel", L,Levi's,2015,35,billybob@yahoo.com,NULL,0,
69,Silver Cufflinks,Men's accessories," 46 Herzl St, Jerusalem, Israel", XL,Tiffany & Co.,2017,50,sarahjane@aol.com,NULL,0,
70,Black Dress Socks,Men's accessories," 18 Dizengoff St, Tel Aviv, Israel", XXL,Calvin Klein,2019,15,tom.smith@outlook.com,NULL,0,
71,Brown Dress Shoes,Men's accessories," 26 HaYarkon St, Tel Aviv, Israel", S,Tommy Hilfiger,2015,25,john.doe@gmail.com,NULL,0,
72,Silver Tie Clip,Men's accessories," 39 Herzl St, Haifa, Israel", M,David Donahue,2017,30,jane.doe@hotmail.com,NULL,0,
73,Black Scarf,Men's accessories," 33 Ben Gurion Blvd, Netanya, Israel", L,The North Face,2019,30,billybob@yahoo.com,NULL,0,
